Landingpage,Sitzungen,Neue Nutzer
/bridge_days/federal_states/hessen/2020-01-01/2020-12-31/3,687,613
/ferien/d/schule/21337-igs-lueneburg,686,528
/ferien/d/stadt/ahlen,680,508
/ferien/d/stadt/rastatt,680,571
/brueckentage/d/bundesland/bremen/2021,678,584
/ferien/d/stadt/muenster-by,677,586
/cities/90478-nuernberg,675,596
/ferien/d/schule/22529-lycee-francais-de-hambourg-antoine-de-st-exupery-gymnasium,674,564
/cities/44137-dortmund,672,535
/ferien/d/stadt/filderstadt,671,588
/ferien/d/stadt/baden-baden,670,594
/ferien/d/stadt/erlangen,669,529
/ferien/d/schule/25938-grundschule-foehr-land,666,598
/ferien/d/stadt/buchholz-in-der-nordheide,664,497
/ferien/d/stadt/neu-ulm,658,530
/bridge_days/federal_states/schleswig-holstein/2020-01-01/2020-12-31/1,657,618
/ferien/d/stadt/oberhausen-by-2,657,490
/ferien/d/schule/23843-berufliche-schule-des-kreises-stormarn-in-bad-oldesloe,656,507
/ferien/d/stadt/herrenberg,655,531
/ferien/d/stadt/bad-oeynhausen,649,524
/ferien/d/schule/69151-stephen-hawking-schule-sonderpaedagogisches-bildungs-und-beratungsz,647,532
/ferien/d/schule/33611-plass-schule-bielefeld,641,516
/ferien/d/schule/91522-staatl-berufsschule-zur-sonderpaedagogischen-foerderung-foerderschwe,640,572
/ferien/d/stadt/altenburg,640,522
/cities/45130-essen,638,514
/ferien/d/bundesland/thueringen/schulbeginn,634,589
/ferien/d/schule/14532-berlin-brandenburg-international-school-gmbh-bbis,634,541
/ferien/d/schule/10247-wbs-training-schulen-ggmbh,633,558
/ferien/d/stadt/arnsberg,633,460
/ferien/d/stadt/viernheim,633,486
/ferien/d/stadt/schotten,628,577
/ferien/d/stadt/neu-wulmstorf,624,406
/ferien/d/schule/88682-schule-schloss-salem-gymnasium,623,542
/ferien/d/stadt/soest,623,485
/ferien/d/stadt/osten,620,571
/ferien/d/schule/10777-lette-verein-stiftung-des-oeffentlichen-rechts,616,381
/ferien/d/stadt/weinstadt,616,521
/ferien/d/schule/79100-montessori-zentrum-angell-grund-und-realschule-gymnasium-und-beru,614,506
/ferien/d/schule/87435-allgaeu-gymnasium-kempten,613,521
/ferien/d/stadt/nordhausen,612,479
/ferien/d/stadt/wismar-mecklenburg,612,490
/ferien/d/stadt/eberswalde,607,441
/ferien/d/schule/65187-hessenkolleg-wiesbaden,599,489
/ferien/d/schule/73734-freie-waldorfschule-esslingen,599,409
/ferien/d/stadt/germersheim,599,447
/cities/33098-paderborn,598,470
/ferien/d/stadt/wabern,598,544
/ferien/d/schule/82319-munich-international-school-e-v-in-starnberg-percha,594,522
/ferien/d/stadt/goslar,594,470
/ferien/d/stadt/gifhorn,592,442
/ferien/d/stadt/zweibruecken,592,399
/cities/45127-essen,590,463
/ferien/d/stadt/witten,590,432
/ferien/d/schule/10115-berlin-metropolitan-school-integrierte-sekundarschule,585,496
/ferien/d/schule/27580-amerikanische-schule,583,554
/ferien/d/stadt/friedrichshafen,579,478
/ferien/d/schule/88212-bildungszentrum-st-konrad-katholische-freie-grund-und-werkrealsch,578,463
/cities/38440-wolfsburg,577,469
/ferien/d/schule/10409-staatliche-ballettschule-berlin-und-schule-fuer-artistik,577,426
/ferien/d/stadt/rendsburg,576,378
/ferien/d/stadt/ellwangen-jagst,575,495
/ferien/d/stadt/lahr-schwarzwald,575,460
/ferien/d/stadt/memmingen,574,458
/ferien/d/stadt/wolfenbuettel,572,422
/cities/71640-ludwigsburg,568,495
/ferien/d/stadt/euskirchen,568,460
/ferien/d/stadt/muellheim,566,493
/ferien/d/stadt/buchholz-bb-1,564,401
/ferien/d/stadt/waldkirch,562,511
/ferien/d/stadt/nienburg-weser-langendamm,561,463
/ferien/d/stadt/halberstadt,559,428
/ferien/d/schule/70192-freie-waldorfschule-am-kraeherwald,558,429
/ferien/d/stadt/langenthal,558,520
/cities/44357-dortmund,557,435
/ferien/d/stadt/mosbach,557,464
/ferien/d/stadt/gerlingen,555,462
/ferien/d/stadt/coburg,554,451
/ferien/d/schule/38102-berufsbildende-schulen-v-der-stadt-braunschweig,552,439
/ferien/d/schule/53424-priv-gymnasium-nonnenwerth,548,461
/ferien/d/schule/55122-grundschule-mainz,545,434
/ferien/d/stadt/kehl,542,436
/ferien/d/stadt/bergisch-gladbach,540,433
/cities/27753-delmenhorst,538,371
/ferien/d/stadt/wesel,538,409
/ferien/d/schule/90478-volksschule-nuernberg-scharrerschule,535,399
/ferien/d/stadt/garmisch-partenkirchen,532,373
/ferien/d/stadt/hamburg-harburg,531,394
/ferien/d/stadt/hilden,529,455
/ferien/d/schule/10409-volkshochschule-pankow,527,441
/ferien/d/stadt/gotha,527,433
/cities/48153-muenster,526,485
/ferien/d/stadt/vechta,526,416
/ferien/d/schule/21614-igs-buxtehude,524,375
/ferien/d/stadt/bad-oldesloe,523,393
/ferien/d/stadt/schwetzingen,523,445
/ferien/d/stadt/burgdorf,520,467
/ferien/d/stadt/limburg-an-der-lahn,520,445
/ferien/d/stadt/pirmasens,519,414
/ferien/d/stadt/sinsheim,519,447
/cities/47803-krefeld,515,402
/cities/81371-muenchen,515,488
/ferien/d/stadt/wetzlar,515,405
/ferien/d/stadt/bad-salzuflen,514,348
/ferien/d/schule/26129-oldenburg-kolleg,513,388
/ferien/d/stadt/cham,512,450
/ferien/d/schule/68519-metropolitan-international-school,511,396
/ferien/d/stadt/velbert,508,365
/ferien/d/schule/26789-hochschule-emden-leer-fachbereich-seefahrt-leer-mit-fachschulbildun,506,460
/ferien/d/stadt/diepholz,505,389
/ferien/d/stadt/glinde,505,372
/ferien/d/stadt/papenburg,503,383
/ferien/d/stadt/ueberlingen,503,432
/ferien/d/stadt/kitzingen,502,385
/ferien/d/schule/38226-emil-langen-realschule,501,89
/ferien/d/stadt/rottenburg-am-neckar,500,446
/ferien/d/schule/38440-neue-schule-wolfsburg,497,410
/ferien/d/stadt/kornwestheim,497,414
/cities/45886-gelsenkirchen,496,357
/ferien/d/stadt/schonach-im-schwarzwald,496,440
/ferien/d/stadt/weinheim,496,418
/ferien/d/stadt/grenzach-wyhlen,494,361
/ferien/d/schule/10117-gpb-college-ggmbh,491,311
/ferien/d/schule/24937-gemeinschaftsschule-flensburg-west,491,378
/ferien/d/stadt/schenefeld,491,327
/ferien/d/schule/10623-rackow-schulen-berlin,490,378
/cities/74076-heilbronn,489,442
/ferien/d/stadt/winsen-luhe,486,381
/ferien/d/stadt/weil-der-stadt,485,418
/ferien/d/schule/49324-ludwig-fresenius-schulen-berufsfachschule-ergotherapie,484,364
/ferien/d/stadt/eisenach-rp,484,354
/ferien/d/stadt/unna,483,391
/ferien/d/schule/04315-bernd-blindow-schulen-leipzig-berufsfachschule-fuer-physiotherapie,482,397
/ferien/d/stadt/friedberg-by,482,366
/ferien/d/stadt/iserlohn,481,400
/ferien/d/stadt/landau-in-der-pfalz,481,405
/ferien/d/stadt/kempten,479,354
/ferien/d/schule/65931-meisterschule,478,440
/cities/57076-siegen,477,352
/ferien/d/schule/77880-heimschule-lender-gymnasium,472,400
(not set),471,453
/ferien/d/stadt/stolberg-rheinland,469,379
/ferien/d/stadt/helgoland,465,349
/ferien/d/stadt/winkel,464,414
/ferien/d/stadt/bergen-by-3,463,418
/ferien/d/stadt/uelzen,461,359
/federal_states/bayern/2019-08-01/2020-07-31,460,396
/ferien/d/schule/38100-otto-bennemann-schule-berufsbildende-schulen-wirtschaft-und-verwalt,459,348
/ferien/d/stadt/crailsheim,457,390
/cities/37081-goettingen,456,373
/ferien/d/stadt/freudenstadt,456,381
/ferien/d/stadt/wiesloch,454,385
/ferien/d/schule/13509-sae-institute-berlin,453,409
/ferien/d/stadt/straubing,453,362
/ferien/d/stadt/plochingen,452,358
/ferien/d/stadt/vaihingen-an-der-enz,452,390
/ferien/d/stadt/bodensee,450,391
/ferien/d/stadt/bad-kissingen,446,325
/ferien/d/stadt/viersen,445,330
/ferien/d/schule/21423-berufsbildende-schulen-winsen-luhe,444,332
/cities/38228-salzgitter,443,309
/ferien/d/stadt/remseck-am-neckar,442,374
